Index,Timestamp,UnixTimestamp,Elasped,Velocity,Travelled,Level1,Level2,Level3,Level4,Level5,Level6,Encoder1,Encoder2,Encoder3,Ang1,Ang2,Ang3
1,2025-09-23T09:46:00.1496245+09:00,1758588360,16.775,0.385,0.103295565,0.825,0.375,-0.338,0.000,0.900,0.113,272.000,276.000,-0.100,-1.359,-1.085,-0.900
2,2025-09-23T09:46:00.6542560+09:00,1758588360,17.279,1.142,0.21111503,0.487,0.000,-0.675,-0.337,0.975,0.000,558.000,563.000,0.000,-1.359,-1.085,-0.900
3,2025-09-23T09:46:01.0296234+09:00,1758588361,17.655,0.881,0.33816102,0.450,0.225,-0.638,-0.188,0.825,-0.188,896.000,898.000,-0.100,-1.355,-1.619,-0.372
4,2025-09-23T09:46:01.3078608+09:00,1758588361,17.933,2.011,0.45766723,0.413,0.150,-0.675,0.038,0.713,-0.450,1213.000,1216.000,-0.100,-1.355,-1.619,-0.372
5,2025-09-23T09:46:01.5082725+09:00,1758588361,18.133,2.307,0.55832386,0.300,0.225,-0.562,0.188,0.412,-0.525,1479.000,1484.000,-0.100,-1.355,-1.619,-0.372
6,2025-09-23T09:46:01.7002059+09:00,1758588361,18.325,1.117,0.6623734,0.000,0.075,-0.562,0.000,0.225,-0.525,1754.000,1760.000,-0.100,-1.355,-1.619,-0.372
7,2025-09-23T09:46:01.9170864+09:00,1758588361,18.542,2.669,0.79243535,-0.263,-0.038,-0.562,0.113,0.412,-0.637,2100.000,2104.000,-0.100,-1.355,-1.619,-0.372
8,2025-09-23T09:46:02.1350072+09:00,1758588362,18.760,1.291,0.9307911,-0.337,-0.188,-0.488,0.300,0.638,-0.750,2468.000,2470.000,-0.100,-1.342,-2.160,0.155
9,2025-09-23T09:46:02.3563325+09:00,1758588362,18.981,1.714,1.0800796,0.038,-0.038,-0.638,0.675,0.825,-0.862,2864.000,2867.000,-0.200,-1.342,-2.160,0.155
10,2025-09-23T09:46:02.5132221+09:00,1758588362,19.138,3.660,1.1931769,0.225,-0.375,-0.488,0.562,0.787,-0.900,3164.000,3166.000,-0.200,-1.342,-2.160,0.155
11,2025-09-23T09:46:02.6549442+09:00,1758588362,19.280,1.799,1.2953415,0.225,-0.750,-0.488,0.262,0.825,-1.162,3437.000,3437.000,-0.200,-1.342,-2.160,0.155
12,2025-09-23T09:46:02.8103804+09:00,1758588362,19.435,1.936,1.4125857,0.487,-0.150,-0.525,0.075,1.013,-0.975,3744.000,3750.000,-0.200,-1.342,-2.160,0.155
