Index,Position,Velocity,Direction,StepSize
1,0.471,1.726,left,3.393
2,10.838,0.968,left,6.032
3,23.091,1.639,left,7.540
4,67.387,1.415,left,4.147
5,79.639,0.757,left,4.147
6,85.765,0.832,left,3.770
7,98.489,0.781,left,3.770
8,137.131,0.794,left,2.639
9,150.796,0.769,left,4.147
10,174.830,1.540,left,4.147
11,195.093,1.439,left,3.016
12,255.883,1.304,left,4.901
13,281.330,0.000,left,4.524
14,338.821,1.502,left,2.639
15,346.361,1.684,left,4.524
16,392.542,1.776,left,2.639
17,415.161,1.713,left,3.770
18,420.816,0.000,left,4.524
1,10.838,0.732,right,10.179
2,23.091,0.435,right,9.425
3,29.217,0.868,right,6.409
4,68.330,0.633,right,6.409
5,80.111,1.464,right,5.655
6,99.431,1.689,right,3.393
7,152.681,0.869,right,4.147
8,166.819,0.682,right,4.147
9,177.657,1.551,right,4.147
10,184.254,1.254,right,3.770
11,235.148,0.720,right,2.639
12,248.343,1.439,right,4.147
13,261.066,0.000,right,3.770
14,373.692,1.786,right,3.393
15,430.241,0.000,right,2.639
